Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price,Accessed 6/2/2022,,,,,
12/25/17,2017,2016,D3,Q-RIN,$2.60 ,,,,,,
12/25/17,2017,2017,D3,Q-RIN,$2.83 ,,,,,,
12/25/17,2017,2017,D3,Unverified,$2.69 ,,,,,,
1/1/18,2018,2017,D3,Q-RIN,$2.80 ,,,,,,
1/1/18,2018,2017,D3,Unverified,$2.70 ,,,,,,
1/8/18,2018,2016,D3,Q-RIN,$2.80 ,,,,,,
1/8/18,2018,2017,D3,Q-RIN,$2.71 ,,,,,,
1/15/18,2018,2016,D3,Q-RIN,$2.73 ,,,,,,
1/15/18,2018,2017,D3,Q-RIN,$2.61 ,,,,,,
1/15/18,2018,2017,D3,Unverified,$2.96 ,,,,,,
1/22/18,2018,2017,D3,Q-RIN,$2.69 ,,,,,,
1/29/18,2018,2017,D3,Q-RIN,$2.68 ,,,,,,
2/5/18,2018,2017,D3,Q-RIN,$2.58 ,,,,,,
2/5/18,2018,2017,D3,Unverified,$2.65 ,,,,,,
2/12/18,2018,2016,D3,Q-RIN,$2.47 ,,,,,,
2/12/18,2018,2017,D3,Q-RIN,$2.60 ,,,,,,
2/12/18,2018,2017,D3,Unverified,$2.60 ,,,,,,
2/19/18,2018,2017,D3,Q-RIN,$2.67 ,,,,,,
2/19/18,2018,2017,D3,Unverified,$2.36 ,,,,,,
2/19/18,2018,2018,D3,Q-RIN,$2.11 ,,,,,,
2/26/18,2018,2016,D3,Q-RIN,$2.35 ,,,,,,
2/26/18,2018,2017,D3,Q-RIN,$2.40 ,,,,,,
2/26/18,2018,2017,D3,Unverified,$2.42 ,,,,,,
2/26/18,2018,2018,D3,Q-RIN,$2.66 ,,,,,,
3/5/18,2018,2016,D3,Q-RIN,$2.35 ,,,,,,
3/5/18,2018,2017,D3,Q-RIN,$2.50 ,,,,,,
3/5/18,2018,2017,D3,Unverified,$2.49 ,,,,,,
3/5/18,2018,2018,D3,Q-RIN,$2.47 ,,,,,,
3/12/18,2018,2017,D3,Q-RIN,$2.59 ,,,,,,
3/12/18,2018,2017,D3,Unverified,$2.59 ,,,,,,
3/12/18,2018,2018,D3,Q-RIN,$2.60 ,,,,,,
3/19/18,2018,2016,D3,Q-RIN,$2.04 ,,,,,,
3/19/18,2018,2017,D3,Q-RIN,$2.67 ,,,,,,
3/19/18,2018,2018,D3,Q-RIN,$2.30 ,,,,,,
3/26/18,2018,2016,D3,Q-RIN,$1.04 ,,,,,,
3/26/18,2018,2016,D3,Unverified,$2.54 ,,,,,,
3/26/18,2018,2017,D3,Q-RIN,$2.55 ,,,,,,
3/26/18,2018,2017,D3,Unverified,$2.30 ,,,,,,
3/26/18,2018,2018,D3,Q-RIN,$2.59 ,,,,,,
4/2/18,2018,2017,D3,Unverified,$2.50 ,,,,,,
4/2/18,2018,2018,D3,Q-RIN,$2.51 ,,,,,,
4/2/18,2018,2018,D3,Unverified,$2.49 ,,,,,,
4/9/18,2018,2017,D3,Q-RIN,$2.49 ,,,,,,
4/9/18,2018,2018,D3,Q-RIN,$2.52 ,,,,,,
4/16/18,2018,2018,D3,Q-RIN,$2.38 ,,,,,,
4/23/18,2018,2017,D3,Q-RIN,$2.47 ,,,,,,
4/23/18,2018,2018,D3,Q-RIN,$2.46 ,,,,,,
4/23/18,2018,2018,D3,Unverified,$2.49 ,,,,,,
4/30/18,2018,2017,D3,Q-RIN,$2.47 ,,,,,,
4/30/18,2018,2018,D3,Q-RIN,$2.54 ,,,,,,
5/7/18,2018,2018,D3,Q-RIN,$2.50 ,,,,,,
5/14/18,2018,2017,D3,Q-RIN,$2.44 ,,,,,,
5/14/18,2018,2018,D3,Q-RIN,$2.26 ,,,,,,
5/21/18,2018,2017,D3,Q-RIN,$2.31 ,,,,,,
5/21/18,2018,2018,D3,Q-RIN,$2.56 ,,,,,,
5/21/18,2018,2018,D3,Unverified,$2.20 ,,,,,,
5/28/18,2018,2017,D3,Q-RIN,$2.40 ,,,,,,
